,Murska Sobota,Maribor,Slovenj Gradec,Celje,Trbovlje,Krško,Novo Mesto,Postojna,Ljubljana,Kranj,Nova Gorica,Koper
Murska Sobota,0.0,41.5,81.8,84.0,102.1,93.5,122.4,179.2,144.0,146.5,208.7,224.9
Maribor,41.5,0.0,40.6,46.5,63.6,67.6,91.3,139.9,103.6,105.0,167.4,185.4
Slovenj Gradec,81.8,40.6,0.0,32.8,39.4,67.9,78.0,106.7,68.6,65.7,128.6,151.1
Celje,84.0,46.5,32.8,0.0,18.3,35.3,47.8,95.3,61.7,70.1,128.4,140.9
Trbovlje,102.1,63.6,39.4,18.3,0.0,41.0,39.9,77.1,43.7,54.6,110.7,122.7
Krško,93.5,67.6,67.9,35.3,41.0,0.0,31.1,101.5,77.8,93.9,143.3,144.8
Novo Mesto,122.4,91.3,78.0,47.8,39.9,31.1,0.0,73.6,58.3,79.0,118.6,115.1
Postojna,179.2,139.9,106.7,95.3,77.1,101.5,73.6,0.0,38.2,52.3,48.2,45.6
Ljubljana,144.0,103.6,68.6,61.7,43.7,77.8,58.3,38.2,0.0,23.2,67.2,82.5
Kranj,146.5,105.0,65.7,70.1,54.6,93.9,79.0,52.3,23.2,0.0,62.9,90.7
Nova Gorica,208.7,167.4,128.6,128.4,110.7,143.3,118.6,48.2,67.2,62.9,0.0,45.8
Koper,224.9,185.4,151.1,140.9,122.7,144.8,115.1,45.6,82.5,90.7,45.8,0.0
